Анна Каренина	Ana Karenina	Anna Karenina	Anna Karenina	Anna Karenina
После завтрака успеем кончить, -- сказал Степан Аркадьич.	Un funcionario enjuto, que descendía con una cartera bajo el brazo, miró con severidad las piernas de aquel hombre y dirigió a Oblonsky una inquisitiva mirada.	'Where shall we see one another?	«Se sapessero — pensava chinando la testa con aria d’importanza nell’ascoltare il rapporto — che ragazzo colpevole era mezz’ora fa il loro capo!».	Oblonski!
-- Как еще успеем!-- сказал Никитин.	Esteban Arkadievich estaba en lo alto de la escalera.	You know it is very, very important for me to have a talk with you,' said Levin.	E gli occhi gli ridevano alla lettura del rapporto.	Da ist er ja auch!« riefen fast immer die, die mit ihm zusammentrafen, mit vergnügtem Lächeln.
-- А плут порядочный должен быть этот Фомин, -- сказал Гриневич об одном из лиц, участвовавших в деле, которое они разбирали.	Su rostro, resplandeciente sobre el cuello bordado del uniforme, resplandeció más al reconocer al recién llegado.	Oblonsky seemed to consider:	La seduta doveva durare fino alle due, senza interruzione;	Und wenn sie nach einem Gespräche mit ihm sich bewußt wurden, daß eigentlich nichts besonders Vergnügliches vorgekommen sei, so freuten sie sich doch am anderen und am dritten Tage alle wieder ganz ebenso bei einer Begegnung mit ihm.
Степан Аркадьич поморщился на слова Гриневича, давая этим чувствовать, что неприлично преждевременно составлять суждение, и ничего ему не ответил.	–	'Well – suppose we go to lunch at Gurin's and have a talk there?	alle due, intervallo e colazione.	Schon mehr als zwei Jahre bekleidete Stepan Arkadjewitsch den Direktorposten bei der Moskauer Verwaltungsbehörde und hatte sich während dieser Zeit wie die Zuneigung so auch die Achtung seiner Kollegen, Untergebenen und Vorgesetzten und aller, die mit ihm zu tun hatten, erworben.
-- Кто это входил? -- спросил он у сторожа.	Es él, me lo figuraba.	I am free till three.'	Non erano ancora le due quando la grande porta a vetri dell’aula si aprì improvvisamente e qualcuno entrò.	Die Eigenschaften, die hauptsächlich dazu beitrugen, ihm diese allgemeine Achtung in dienstlicher Hinsicht zu verschaffen, waren erstens seine außerordentliche Leutseligkeit, die bei ihm auf dem Bewußtsein seiner eigenen Mängel beruhte; zweitens seine durchaus liberale, fortschrittliche Gesinnung, nicht die, die er sich aus den Zeitungen zu eigen machte, sondern die, die ihm im Blute steckte und infolge deren er alle Menschen, ohne jede Rücksicht auf ihren Stand und Beruf, völlig gleich und unparteiisch behandelte;
-- Какой-то, ваше превосходительство, без спросу влез, только я отвернулся.	Es Levin –dijo con sonrisa amistosa y algo burlona–.	'No,' said Levin, after a moment's consideration; 'I have to go somewhere else.'	Tutti i membri ritratti sotto il ritratto dell’imperatore e al di là dello specchio a tre facce, lieti della distrazione, si voltarono a guardare verso la porta;	drittens (und das war wohl die Hauptsache) seine vollständige Gemütsruhe gegenüber den Angelegenheiten, mit denen er sich zu beschäftigen hatte, so daß er sich niemals von Erregungen hinreißen ließ und keine Übereilungsfehler machte.
Вас спрашивали.	¿Cómo te dignas venir a visitarme en esta «covachuela» ? –dijo abrazando a su amigo, no contento con estrechar su mano–	'Well then, let's dine together.'	ma l’usciere che stava all’ingresso respinse subito colui che s’era infilato e richiuse la porta a vetri.	Als Stepan Arkadjewitsch heute in seinem Wagen zu der Stätte seiner dienstlichen Tätigkeit gelangt war, begab er sich, begleitet von dem ehrerbietigen Pförtner, der ihm die Aktenmappe trug, in sein kleines Arbeitszimmer, zog die Uniform an und trat in den Sitzungssaal.
Я говорю: когда выйдут члены, тогда...	––	'Dine?	Quando tutto il rapporto fu letto, Stepan Arkad’ic si alzò stiracchiandosi e, pagando il proprio tributo al liberalismo dell’epoca, tirò fuori, ancora nell’aula, una sigaretta, e si avviò nel suo ufficio.	Die Schreiber und Beamten erhoben sich sämtlich und verbeugten sich mit freundlicher, achtungsvoller Miene.
-- Где он?	.	But I've nothing particular to say – only a word or two... to ask you something!	Due colleghi, il vecchio funzionario Nikitin e il gentiluomo di camera Grinevic, uscirono con lui.	Stepan Arkadjewitsch ging wie immer schnellen Schrittes zu seinem Platze, drückte den Räten die Hand und setzte sich.
-- Нешто вышел в сени, а то все тут ходил.	¿Hace mucho que llegaste?	We can have a talk some other time.'	— Dopo colazione arriveremo a finire — disse Stepan Arkad’ic.	Er scherzte und plauderte ein wenig mit ihnen, gerade so viel, wie schicklich war, und nahm dann die Arbeit in Angriff.
Этот самый, -- сказал сторож, указывая на сильно сложенного широкоплечего человека с курчавою бородой, который, не снимая бараньей шапки, быстро и легко взбегал наверх по стертым ступенькам каменной лестницы.	–	'Well, tell me the word or two now, and we'll talk at dinner.'	— Altro che arriveremo!	Niemand verstand es besser als Stepan Arkadjewitsch, jene Grenzlinie zwischen harmlosem, schlichtem Benehmen und dienstlicher Haltung zu finden, deren Innehaltung für eine angenehme Amtstätigkeit erforderlich ist.
Один из сходивших вниз с портфелем худощавый чиновник, приостановившись, неодобрительно посмотрел на ноги бегущего и потом вопросительно взглянул на Облонского.	Ahora mismo.	'The two words are... however, it's nothing particular,' said Levin, and his face became almost vicious in his efforts to overcome his shyness.	— disse Nikitin.	Freundlich und achtungsvoll, wie sich eben alle in Stepan Arkadjewitschs Amtsbereich benahmen, trat der Sekretär mit einigen Schriftstücken zu ihm heran und sagte in dem freien, ungezwungenen Tone, den Stepan Arkadjewitsch eingeführt hatte:
