ALICE'S ADVENTURES IN WONDERLAND	Alicia en el país de las maravillas	ALICE NEL PAESE DELLE MERAVIGLIE	Alice no País das Maravilhas	Alice au pays des merveilles	Alice’s Abenteuer im Wunderland
Pray how did you manage to do it?'	la voz--	Ma, no! — disse Alice con umiltà.	mas, como a porta se abria para dentro, e o ombro de Alice estava firmemente pressionado contra ela, esta tentativa foi um fracasso.	» demanda Alice ;	Sie wird mich hängen lassen, so gewiß Frettchen Frettchen sind!
'In my youth,' said his father, 'I took to the law,	.	— Tu t'offendi con facilità!	Alice o ouviu dizer para si mesmo 'Então eu vou dar a volta e entrar pela janela.	non qu’elle tînt beaucoup à le savoir, mais le Dodo avait fait une pause comme s’il s’attendait à être questionné par quelqu’un, et personne ne semblait disposé à prendre la parole.	Wo ich sie kann haben fallen lassen, begreife ich nicht! «
And argued each case with my wife;	¡Tráeme inmediatamente mis guantes!	Per tutta risposta il Topo si mise a borbottare.	'	« La meilleure manière de l’expliquer, » dit le Dodo, « c’est de le faire	Alice erriet augenblicklich, daß es den Fächer und die weißen Glaceehandschuhe meinte, und gutmütig genug fing sie an, danach umher zu suchen, aber sie waren nirgends zu sehen
And the muscular strength, which it gave to my jaw,	Después Alicia oyó un ruidito de pasos por la escalera.	— Per piacere, ritorna e finisci il tuo racconto!	'Isto você não vai' pensou Alice, e, depois de esperar até ela imaginar ouvir o Coelho logo embaixo da janela, ela subitamente estendeu a mão para fora e tentou agarrar no ar.	.	Alles schien seit ihrem Bade in dem Pfuhl verwandelt zu sein, und der große Korridor mit dem Glastische und der kleinen Thür war gänzlich verschwunden.
Has lasted the rest of my life.'	Comprendió que era el Conejo que subía en su busca y se echó a temblar con tal fuerza que sacudió toda la casa, olvidando que ahora era mil veces mayor que el Conejo Blanco y no había por tanto motivo alguno para tenerle miedo.	— gridò Alice;	Ela não agarrou nada, mas ouviu um gritinho estridente e uma queda, e um estraçalhamento de vidro quebrado, do qual ela concluiu que era bem possível que ele tivesse caído sobre uma pequena estufa, ou algo do tipo.	»	Das Kaninchen erblickte Alice bald, und wie sie überall suchte, rief es ihr ärgerlich zu:
'You are old,' said the youth, 'one would hardly suppose	Ahora el Conejo había llegado ante la puerta, e intentó abrirla, pero, como la puerta se abría hacia adentro y el codo de Alicia estaba fuertemente apoyado contra ella, no consiguió moverla.	e tutti gli altri s'unirono in coro:	Em seguida veio uma voz irritada -- o Coelho -- 'Pat!	(Et comme vous pourriez bien, un de ces jours d’hiver, avoir envie de l’essayer, je vais vous dire comment le Dodo s’y prit.	»Was, Marianne, was hast du hier zu schaffen?
That your eye was as steady as ever;	Alicia oyó que se decía para sí: --Pues entonces daré la vuelta y entraré por la ventana.	— Via finisci il racconto!	Pat!	)	Renne augenblicklich nach Hause, und hole mir ein Paar Handschuhe und einen Fächer!
Yet you balanced an eel on the end of your nose	--Eso sí que no --pensó Alicia.	— Ma il Topo crollò il capo con un moto d'impazienza, e affrettò il passo.	Onde você está?	D’abord il traça un terrain de course, une espèce de cercle ( « Du reste, » disait-il, « la forme n’y fait rien » ), et les coureurs furent placés indifféremment çà et là sur le terrain.	Schnell, vorwärts!«
—	Y, después de esperar hasta que creyó oír al Conejo justo debajo de la ventana, abrió de repente la mano e hizo gesto de atrapar lo que estuviera a su alcance.	— Peccato che non sia rimasto!	' E então uma voz que ela nunca tinha ouvido, 'Sem dúvida estou aqui agora!	Personne ne cria, « Un, deux, trois, en avant ! » mais chacun partit et s’arrêta quand il voulut, de sorte qu’il n’était pas aisé de savoir quand la course finirait.	Alice war so erschrocken, daß sie schnell in der angedeuteten Richtung fortlief, ohne ihm zu erklären, daß es sich versehen habe.
What made you so awfully clever?'	No encontró nada, pero oyó un gritito entrecortado, algo que caía y un estrépito de cristales rotos, lo que le hizo suponer que el Conejo se había caído sobre un invernadero o algo por el estilo.	— disse sospirando il Lori;	Cavando por maçãs, Vossa Excelência!	Cependant, au bout d’une demi-heure, tout le monde étant sec, le Dodo cria tout à coup : « La course est finie ! » et les voilà tous haletants qui entourent le Dodo et lui demandent : « Qui a gagné ?	»Es hält mich für sein Hausmädchen,« sprach sie bei sich selbst und lief weiter. »
'I have answered three questions, and that is enough,' Said his father; 'don't give yourself airs!	Después se oyó una voz muy enfadada, que era la del Conejo: --¡Pat!	appena il Topo si fu dileguato.	'	»	Wie es sich wundern wird, wenn es erfährt, wer ich bin!
Do you think I can listen all day to such stuff?	¡Pat! ¿Dónde estás?	Un vecchio granchio colse quell'occasione per dire alla sua piccina:	'Cavando por maçãs, certamente!' disse o Coelho com raiva.	Cette question donna bien à réfléchir au Dodo ;	Aber ich will ihm lieber seinen Fächer und seine Handschuhe bringen nämlich, wenn ich sie finden kann.«
Be off, or I'll kick you down stairs!'	¿Dónde estás?	— Amor mio, ti serva di lezione, e bada di non adirarti mai!	'Aqui!	il resta longtemps assis, un doigt appuyé sur le front (pose ordinaire de Shakespeare dans ses portraits) ;	Wie sie so sprach, kam sie an ein nettes kleines Haus, an dessen Thür ein glänzendes Messingschild war mit dem Namen »W. Kaninchen« darauf
'That is not said right,' said the Caterpillar.	Y otra voz, que Alicia no había oído hasta entonces: --¡Aquí estoy, señor! ¡Cavando en busca de manzanas, con permiso del señor!	— Papà, — disse la piccina sdegnosa, — tu stancheresti anche la pazienza d'un'ostrica!	Venha e me ajude a sair disto!' (Sons de mais vidros quebrados.)	tandis que les autres attendaient en silence.	.
'Not quite right, I'm afraid,' said Alice, timidly; 'some of the words have got altered.'	--¡Tenías que estar precisamente cavando en busca de manzanas	— Ah, se Dina fosse qui!	'Agora diga-me, Pat, o que é aquilo na janela?	Enfin le Dodo dit : « Tout le monde a gagné, et tout le monde aura un prix	Sie ging hinein ohne anzuklopfen, lief die Treppe hinauf, in großer Angst, der wirklichen Marianne zu begegnen und zum Hause hinausgewiesen zu werden, ehe sie den Fächer und die Handschuhe gefunden hätte.
'It is wrong from beginning to end,' said the Caterpillar decidedly, and there was silence for some minutes.	!	— disse Alice parlando ad alta voce, ma senza rivolgersi particolarmente a nessuno.	'	.	»Wie komisch es ist,« sagte Alice bei sich, »Besorgungen für ein Kaninchen zu machen!
The Caterpillar was the first to speak.	--replicó el Conejo muy irritado--.	— Lo riporterebbe indietro subito!	'Claro, é um braço, Vossa Excelência!' (Ele pronunciou 'braçum.	»	Vermutlich wird mir Dinah nächstens Aufträge geben !«
'What size do you want to be?' it asked.	¡Ven aquí inmediatamente!	— Scusa la domanda, chi è Dina?	')	« Mais qui donnera les prix ?	Und sie dachte sich schon aus, wie es Alles kommen würde: »
'Oh, I'm not particular as to size,' Alice hastily replied; 'only one doesn't like changing so often, you know.'	¡Y ayúdame a salir de esto!	— domando il Lori.	'Um braço, seu tolo!	» demandèrent-ils tous à la fois.	Fräulein Alice!
'I don't know,' said the Caterpillar.	Hubo más ruido de cristales rotos.	Alice rispose sollecitamente sempre pronta a parlare del suo animale prediletto:	Quem já viu um daquele tamanho?	« Elle, cela va sans dire, » répondit le Dodo, en montrant Alice du doigt, et toute la troupe l’entoura aussitôt en criant confusément : « Les prix !	Kommen Sie gleich, es ist Zeit zum Ausgehen für Sie !« »Gleich Kinderfrau!
Alice said nothing: she had never been so much contradicted in her life before, and she felt that she was losing her temper	–	— La mia gatta.	Ora, ele ocupa toda a janela!	Les prix !	aber ich muß dieses Mäuseloch hier bewachen bis Dinah wiederkommt, und aufpassen, daß die Maus nicht herauskommt.«
.	Y ahora dime, Pat, ¿qué es eso que hay en la ventana?	Fa prodigi, quando caccia i topi!	'	»	»Nur würde Dinah,« dachte Alice weiter, »gewiß nicht im Hause bleiben dürfen, wenn sie anfinge, die Leute so zu kommandieren.«
'Are you content now?' said the Caterpillar.	–	E se la vedessi correr dietro gli uccelli!	'Claro, ocupa, Vossa Excelência:	Alice ne savait que faire ;	Mittlerweile war sie in ein sauberes kleines Zimmer gelangt, mit einem Tisch vor dem Fenster und darauf (wie sie gehofft hatte) ein Fächer und zwei oder drei Paar winziger weißer Glaceehandschuhe;
'Well, I should like to be a little larger, sir, if you wouldn't mind,' said Alice: 'three inches is such a wretched height to be.'	-Seguro que es un brazo, señor --(y pronunciaba «brasso»)	Un uccellino lo fa sparire in un boccone.	mas é um braço mesmo assim.	pour sortir d’embarras elle mit la main dans sa poche et en tira une boîte de dragées (heureusement l’eau salée n’y avait pas pénétré) ;	sie nahm den Fächer und ein Paar Handschuhe und wollte eben das Zimmer verlassen, als ihr Blick auf ein Fläschchen fiel, das bei dem Spiegel stand.
'It is a very good height indeed!' said the Caterpillar angrily, rearing itself upright as it spoke (it was exactly three inches high).	.	Questo discorso produsse una grande impressione nell'assemblea.	'	puis en donna une en prix à chacun ;	Diesmal war kein Zettel mit den Worten »Trink mich« darauf, aber trotzdem zog sie den Pfropfen heraus und setzte es an die Lippen.
'But I'm not used to it!' pleaded poor Alice in a piteous tone.	--¿Un brazo, majadero?	Alcuni uccelli spiccarono immediatamente il volo:	'Bem, ele não deveria estar lá, de qualquer forma: vá e retire-o!	il y en eut juste assez pour faire le tour.	»Ich weiß, etwas Merkwürdiges muß geschehen, sobald ich esse oder trinke;
And she thought of herself, 'I wish the creatures wouldn't be so easily offended!'	¿Quién ha visto nunca un brazo de este tamaño?	una vecchia gazza si avviluppò ben bene dicendo:	'	« Mais il faut aussi qu’elle ait un prix,	drum will ich versuchen, was dies Fläschchen tut.
'You'll get used to it in time,' said the Caterpillar; and it put the hookah into its mouth and began smoking again.	¡Pero si llena toda la ventana!	— è tempo di tornare a casa;	Houve um longo silêncio depois disso, e Alice só podia ouvir cochichos aqui e ali; tais como, 'Sem dúvida eu não gosto disto, Vossa Excelência, nem um pouco, nem um pouco!' 'Faça o que estou dizendo, seu covarde!' e finalmente ela estendeu a mão de novo, e tentou agarrar no ar mais uma vez.	elle, » dit la Souris.	Ich hoffe, es wird mich wieder größer machen;
This time Alice waited patiently until it chose to speak again.	--Seguro que la llena, señor.	l'aria notturna mi fa male alla gola!	Desta vez houve dois gritinhos, e mais sons de vidro quebrado.	« Comme de raison, » reprit le Dodo gravement.	denn es ist mir sehr langweilig, solch winzig kleines Ding zu sein!«
In a minute or two the Caterpillar took the hookah out of its mouth and yawned once or twice, and shook itself.	¡Y sin embargo es un brazo!	— Un canarino chiamò con voce tremula tutti i suoi piccini.	'Quantas pequenas estufas[1] deve haver!	« Avez-vous encore quelque chose dans votre poche ?	Richtig, und zwar schneller als sie erwartete: ehe sie das Fläschchen halb ausgetrunken hatte fühlte sie, wie ihr Kopf an die Decke stieß, und mußte sich rasch bücken, um sich nicht den Hals zu brechen.
Then it got down off the mushroom, and crawled away in the grass, merely remarking as it went, 'One side will make you grow taller, and the other side will make you grow shorter.'	--Bueno, sea lo que sea no tiene por que estar en mi ventana.	— Via, via cari miei!	' pensou Alice.	» continua-t-il	Sie stellte die Flasche hin, indem sie zu sich sagte: »Das ist ganz genug ich hoffe, ich werde nicht weiter wachsen ich kann so schon nicht zur Türe hinaus hätte ich nur nicht so viel getrunken!«
'One side of what? The other side of what?' thought Alice to herself.	¡Ve y quítalo de ahí!	È tempo di andare a letto!	'O que eles vão fazer em seguida!	en se tournant vers Alice.	O weh!
'Of the mushroom,' said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight.	Siguió un largo silencio, y Alicia sólo pudo oír breves cuchicheos de vez en cuando, como «¡Seguro que esto no me gusta nada, señor, lo que se dice nada!» y «¡Haz de una vez lo que te digo, cobarde!» Por último, Alicia volvió a abrir la mano y a moverla en el aire como si quisiera atrapar algo.	— Ciascuno trovò un pretesto per andarsene, e Alice rimase sola.	Quanto a me puxar pela janela, eu só queria que eles pudessem!	« Un dé ; pas autre chose, » dit Alice d’un ton chagrin.	es war zu spät, dies zu wünschen.
